Year | Année,Facility Name | Nom de l'installation,Sample Station Name | Nom de la station d'échantillonnage,Latitude | Latitude,Longitude | Longitude,Sample Type (English) | Type d'échantillon (anglais),Sample Type (French) | Type d'échantillon (français),Substance Name (English) | Nom de substance (anglais),Substance Name (French) | Nom de substance (français),Statistical Quantity (English) | Quantité statistique (anglais),Statistical Quantity (French) | Quantité statistique (français),<,Result | Résultat,Units | Unités
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,120.47,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,232.95,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,80.13,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,174.9,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,193.84,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,182.25,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,225.76,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,256.49,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,155.23,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,267.56,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,268.26,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,399.92,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,506.34,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,411.67,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,330.71,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,529.68,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,447.83,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,807.56,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,620.42,GBq
